"","","","","","","","","","","",""
"","","CENTRO DE INVESTIGACIÓN Y ASISTENCIA EN TECNOLOGÍA Y DISEÑO DEL ESTADO DE JALISCO A.C ","","","","","","","","",""
"","","Relación de bienes muebles que componen el patrimonio","","","","","","","","",""
"","","Cuenta Pública 2018","","","","","","","","",""
"","","(Pesos)","","","","","","","","",""
"","","Código","Descripción del bien","Valor en libros","","","","","","",""
"","","EQ C-50","PLANTA DE GENERACION DE 250KW CUMMINS GENERATION","1,522.95","","","","","","",""
"","","EQ C-58","IMPRESORA MULTIFUNCIONAL","6,799.99","","","","","","",""
"","","EQ C-2038","PANTALLA","6,382.33","","","","","","",""
"","","EQ C-2039","PANTALLA","6,382.33","","","","","","",""
"","","EQ C-2040","PANTALLA","6,382.33","","","","","","",""
"","","EQ C-2041","PANTALLA","6,382.33","","","","","","",""
"","","EQ C-2042","PANTALLA","6,382.33","","","","","","",""
"","","EQ C-1","1.4 GHZ GX400 T, SND, 256","44.72","","","","","","",""
"","","EQ C-100","NB+R SB MICRO SR 800 VA/10 MIN","3,089.68","","","","","","",""
"","","EQ C-101","NB+R SB MICRO SR 800 VA/10 MIN","3,089.68","","","","","","",""
"","","EQ C-101-4652","NB+R SB MICRO SR 800 VA/10 MIN","3,089.68","","","","","","",""
"","","EQ C-101-4655","NB+R SB MICRO SR 800 VA/10 MIN","0.01","","","","","","",""
"","","EQ C-101-4674","NB+R SB MICRO SR 800 VA/10 MIN","0.01","","","","","","",""
"","","EQ C-101-4687","NB+R SB MICRO SR 800 VA/10 MIN","0.01","","","","","","",""
"","","EQ C-101-5154","NB+R SB MICRO SR 800 VA/10 MIN","0.01","","","","","","",""
"","","EQ C-101-5496","NB+R SB MICRO SR 800 VA/10 MIN","0.01","","","","","","",""
"","","EQ C-102","NB+R SB MICRO SR 800 VA/10 MIN","3,089.68","","","","","","",""
"","","EQ C-103","NB+R SB MICRO SR 800 VA/10 MIN","3,089.68","","","","","","",""
"","","EQ C-105","OFFICE JET G95","0.01","","","","","","",""
"","","EQ C-106","REGULADOR SB 100W/1000VA","140,715.88","","","","","","",""
"","","EQ C-107","REGULADOR SB 100W/1000VA","16,208.08","","","","","","",""
"","","EQ C-108","COMPUTADORA PORTATIL MARCA DELL MODELO LATITUDE C64, PENTIUM 4M, WINDOWS 2000 PROFESIONAL. MONITOR TIPO MATRIZ ACTIVA  14.1"" XGA","0.01","","","","","","",""
"","","EQ C-112","COMPUTADORA LANIX BRAIN PENT. 4  2 GHZ, D.D., 2 GB, TVIDEO 32 MB, FLOPPY 128 RAM, MONITOR 15""","12,090.00","","","","","","",""
"","","EQ C-113","COMPUTADORA LANIX BRAIN PENT. 4  2 GHZ, D.D., 2 GB, TVIDEO 32 MB, FLOPPY 128 RAM, MONITOR 15""","12,090.00","","","","","","",""
"","","EQ C-114","COMPUTADORA LANIX BRAIN PENT. 4  2 GHZ, D.D., 2 GB, TVIDEO 32 MB, FLOPPY 128 RAM, MONITOR 15""","12,090.00","","","","","","",""
"","","EQ C-115","COMPUTADORA LANIX BRAIN PENT. 4  2 GHZ, D.D., 2 GB, TVIDEO 32 MB, FLOPPY 128 RAM, MONITOR 15""","12,090.00","","","","","","",""
"","","EQ C-116","COMPUTADORA LANIX BRAIN PENT. 4  2 GHZ, D.D., 2 GB, TVIDEO 32 MB, FLOPPY 128 RAM, MONITOR 15""","1,226.46","","","","","","",""
"","","EQ C-117","COMPUTADORA LANIX BRAIN PENT. 4  2 GHZ, D.D., 2 GB, TVIDEO 32 MB, FLOPPY 128 RAM, MONITOR 15""","4,585.57","","","","","","",""
"","","EQ C-118","COMPUTADORA LANIX BRAIN PENT. 4  2 GHZ, D.D., 2 GB, TVIDEO 32 MB, FLOPPY 128 RAM, MONITOR 15""","4,585.56","","","","","","",""
"","","EQ C-119","COMPUTADORA LANIX BRAIN PENT. 4  2 GHZ, D.D., 2 GB, TVIDEO 32 MB, FLOPPY 128 RAM, MONITOR 15""","44,290.00","","","","","","",""
"","","EQ C-120","COMPUTADORA PORTATIL MARCA DELL MODELO LATITUDE C64, PENTIUM 4M, WINDOWS 2000 PROFESIONAL. MONITOR TIPO MATRIZ ACTIVA  14.1"" XGA","12,090.00","","","","","","",""
"","","EQ C-121","COMPUTADORA PORTATIL MARCA DELL MODELO LATITUDE C64, PENTIUM 4M, WINDOWS 2000 PROFESIONAL. MONITOR TIPO MATRIZ ACTIVA  14.1"" XGA","4,585.56","","","","","","",""
"","","EQ C-122","COMPUTADORA PORTATIL MARCA DELL MODELO LATITUDE C64, PENTIUM 4M, WINDOWS 2000 PROFESIONAL. MONITOR TIPO MATRIZ ACTIVA  14.1"" XGA","8,084.08","","","","","","",""
"","","EQ C-123","COMPUTADORA PORTATIL MARCA DELL MODELO LATITUDE C64, PENTIUM 4M, WINDOWS 2000 PROFESIONAL. MONITOR TIPO MATRIZ ACTIVA  14.1"" XGA $1,734 DLLS","4,585.56","","","","","","",""
"","","EQ C-124","HP IMPRESORA LASERJET 6L 965591","21,224.10","","","","","","",""
"","","EQ C-125","IBW THINKPAD 560Z PENTIUM II A 300, 64 MB D.D. 6.4 GB, PANTALLA TFT DE 12.1"", CD ROM EXT.20X","0.01","","","","","","",""
"","","EQ C-126","IBW THINKPAD 560Z PENTIUM II A 300, 64 MB D.D. 6.4 GB, PANTALLA TFT DE 12.1"", CD ROM EXT.20X","4,585.56","","","","","","",""
"","","EQ C-129","LAT L400, 700 MHZ, PIII, 1","4,585.56","","","","","","",""
"","","EQ C-13","COMPUTADORA PENTIUM II A 350 MHZ, 64 MB, D.D., 4.3 GB, FAX MODEM 56.6 KBPS, TARJETA DE VIDEO DE 4MB AGP, TARJETA DE RED ETHERNET PCI 10/100, TECLADO ERGONOMICO Y MOUSE GENIUS NET.   KIT MULTIMEDIA 36X, TARJETA DE SONIDO 16 BITS, BOCINAS DE 140 WATTS","839.13","","","","","","",""
"","","EQ C-131","REGULADOR SB 100W/1000VA","4,585.56","","","","","","",""
"","","EQ C-132","IMPRESORA HP LASERJET 1100 SERIE USLE029569","3,156.96","","","","","","",""
"","","EQ C-133","COMPUTADORA LANIX BRAIN PENT. 4  2 GHZ, D.D., 2 GB, TVIDEO 32 MB, FLOPPY 128 RAM, MONITOR 15""","1,537.18","","","","","","",""
"","","EQ C-134","COMPUTADORA LANIX BRAIN PENT. 4  2 GHZ, D.D., 2 GB, TVIDEO 32 MB, FLOPPY 128 RAM, MONITOR 15""","11,513.35","","","","","","",""
"","","EQ C-135","LANIX GENESIS PENT. III 500/6.4MB/CD44X, INCLUYE MONITOR LANIX 15"" SVGA","4,200.00","","","","","","",""
"","","EQ C-138","IMPRESORA HP OFFICEJET PRO HP 1175C SERIE SGA81AGGT7","2,273.00","","","","","","",""
"","","EQ C-140","NB+R SB MICRO SR 800 VA/10 MIN","13,885.92","","","","","","",""
"","","EQ C-141","APPLE COLOR STYLE WRITER PRO 110V SERIE: CC4269X21AS","2,236.95","","","","","","",""
"","","EQ C-142","COMPUTADORA LANIX BRAIN PENT. 4  2 GHZ, D.D., 2 GB, TVIDEO 32 MB, FLOPPY 256 RAM, MONITOR 15""","2,237.00","","","","","","",""
"","","EQ C-143","COMPUTADORA LANIX BRAIN PENT. 4  2 GHZ, D.D., 2 GB, TVIDEO 32 MB, FLOPPY 256 RAM, MONITOR 15""","2,236.59","","","","","","",""
"","","EQ C-144","FUENTE PARSEC SECR 333 SERIE 920632888","2,237.00","","","","","","",""
"","","EQ C-930640","1.4 GHZ GX400 T, SND, 256","0.01","","","","","","",""
"","","EQ C-145","MONITOR MACINTOSH 21 COLOR DISPLAY","2,237.00","","","","","","",""
"","","EQ C-964608","1.4 GHZ GX400 T, SND, 256","0.01","","","","","","",""
"","","EQ C-969356","1.4 GHZ GX400 T, SND, 256","0.01","","","","","","",""
"","","EQ C-970086","1.4 GHZ GX400 T, SND, 256","0.01","","","","","","",""
"","","EQ C-971182","1.4 GHZ GX400 T, SND, 256","0.01","","","","","","",""
"","","EQ C-971547","1.4 GHZ GX400 T, SND, 256","0.01","","","","","","",""
"","","EQ C-147","MONITOR POWER MAC, MACINTOSH","16,769.85","","","","","","",""
"","","EQ C-148","POWERMAC 63/300MT 64MD/8GBHD/CD24X/ZIP SERIE SXB8400SMEQE","2,237.00","","","","","","",""
"","","EQ C-149","IMPRESORA EPSON STYLUS COLOR 800 SERIE 3JS1040860","8,859.43","","","","","","",""
"","","EQ C-15","NB+R SB MICRO SR 800 VA/10 MIN","18,941.94","","","","","","",""
"","","EQ C-152","ACERPOWER P/100 M42, 8MB, 1GB, MON DUGA 1-0058 SIMMS 8MB 72 FINES","39,099.44","","","","","","",""
"","","EQ C-153","APLE COLOR STYLE WRITER PRO MONITOR","0.01","","","","","","",""
"","","EQ C-154","APPLE 16"" RGB DISPLAY SERIE S12482JYD07","9,774.86","","","","","","",""
"","","EQ C-155","APPLE POWER MAC 5260/1120,16 RAM, 1.2GB 7M68FV","0.01","","","","","","",""
"","","EQ C-1344825","1.4 GHZ GX400 T, SND, 256","0.01","","","","","","",""
"","","EQ C-157","COMP. MACINTOSH PERFORMA 5215 75MHZ, HD 16B, 16 RAM, CD 4X, FAX MODEM 14,400, MONITOR 15"", TARJ. RED THIN COAXIAL. N/S HP54607C5BY, HP5456SF5BY","0.01","","","","","","",""
"","","EQ C-158","COMPUTADORA PENTIUM II A 350 MHZ, 64 MB, D.D., 4.3 GB, FAX M. 56.6 KBPS, TARJ. VIDEO DE 4MB AGP, TARJ. RED ETHERNET PCI 10/100, MONITOR SVGA 14"", TECLADO ERGONOMICO Y MOUSE GENIUS NET.,KIT MULTIMEDIA 36X, TARJETA SONIDO 16 BITS, BOCINAS DE 140 WATTS","9,775.00","","","","","","",""
"","","EQ C-16","NB+R SB MICRO SR 800 VA/10 MIN","18,941.94","","","","","","",""
"","","EQ C-160","HP KAYAK XM 600, PIII 866MHZ, 128 RAM, SERIE MX04565026","61,111.46","","","","","","",""
"","","EQ C-161","HP MONITOR COLOR 21"" SERIE HU94920177","6,382.33","","","","","","",""
"","","EQ C-162","HP MONITOR COLOR 21"" SERIE HU95127857","0.01","","","","","","",""
"","","EQ C-163","IMPRESORA EPSON STYLUS COLOR 900 SERIE BGM1002659","1,888.45","","","","","","",""
"","","EQ C-164","IMPRESORA HP 4500 LASER COLOR SERIE JPIAA00783","0.01","","","","","","",""
"","","EQ C-166","IMPRESORA LASERJET 1100 SERIE USJB013538","0.01","","","","","","",""
"","","EQ C-166-3140","IMPRESORA LASERJET 1100 SERIE USJB013538","0.01","","","","","","",""
"","","EQ C-167","LASERJET 1200, 15PPM 12","0.01","","","","","","",""
"","","EQ C-168","MACINTOSH QUADRA 800 8MB/230HD SERIE F331064GCC7","0.01","","","","","","",""
"","","EQ C-169","MONITOR PRESARIO MV520 15"" 50QK390","9,774.86","","","","","","",""
"","","EQ C-170","NB+R SB MICRO SR 800 VA/10 MIN","0.01","","","","","","",""
"","","EQ C-171","NB+R SB MICRO SR 800 VA/10 MIN","0.01","","","","","","",""
"","","EQ C-172","NB+R SB MICRO SR 800 VA/10 MIN","4,083.45","","","","","","",""
"","","EQ C-173","NOBREAK CON REGULADOR INTEGRADO MOD. SR 1600 VA 30 MIN A MEDIA CARGA","0.01","","","","","","",""
"","","EQ C-174","SCANJET HP 5200C USB SERIE SSG98C1335D","15,277.87","","","","","","",""
"","","EQ C-175","TELEVISOR DE 14"" MARCA BLUE POINT CON VIDEOCASSERRETA INTEGRADA, MODELO CTV-4114CR  S-287731RBA00116","0.01","","","","","","",""
"","","EQ C-177","COMPUTADORA PENTIUM II A 350 MHZ, 64 MB, D.D., 4.3 GB, FAX M 56.6 KBPS, TARJ. VIDEO DE 4MB AGP, TARJ. RED ETHERNET PCI 10/100, MONITOR SVGA 14"", TECLADO ERGONOMICO Y MOUSE GENIUS NET.,KIT MULTIMEDIA 36X, TARJ. SONIDO 16 BITS, BOCINAS DE 140 WATTS","0.01","","","","","","",""
"","","EQ C-179","IMPRESORA EPSON STYLUS 740 SERIE A6S1009320","0.01","","","","","","",""
"","","EQ C-185","COMPUTADORA PORTATIL IBM THINK PAD. MOD TPA 20M, SERIE 262841S/78BR204","2,628.40","","","","","","",""
"","","EQ C-186","LAT C800, 1GHZ, PIII, 15","4,083.45","","","","","","",""
"","","EQ C-189","CHAROLA DE VIALES DE 100 POSICIONES","12,744.19","","","","","","",""
"","","EQ C-19","NB-R SB MICRO 800VA/10 MIN","1,691.39","","","","","","",""
"","","EQ C-192","COMPUTADORA PORTATIL LANIX NEURON PENTIUM 4  1.7GHZ, 20MB, DVD","0.01","","","","","","",""
"","","EQ C-193","IMPRESORA HP LASER II","12,744.19","","","","","","",""
"","","EQ C-194","LANIX 486,33MHZ 4MB RAM MS DOS 5.0 WINDOWS MOUSE","6,246.23","","","","","","",""
"","","EQ C-195","LANIX GENESIS PENT. III 700 MHZ/128MB/CD","9,913.34","","","","","","",""
"","","EQ C-197","MACINTOSH QUADRA 700 (UPGRADE)","12,744.19","","","","","","",""
"","","EQ C-199","NO BREAK TRIPP LITE OMNI_PRO 850 VA","0.01","","","","","","",""
"","","EQ C-2","PE 2650 2.0 GHZ/512K XEO","2,951.36","","","","","","",""
"","","EQ C-20","PERFORMA 6300 PROC. PAWER PC 603 A 100 MHZ, 16 RAM, HD 1.2 GB, CD 4X, MONITOR 14"", FAX MODEM 14,400, TARJ. RED THIN COAXIAL. SERIE HP6100ZS7KQ","1,661.52","","","","","","",""
"","","EQ C-200","POWER MACINTOSH 8100/80 8/250","12,744.19","","","","","","",""
"","","EQ C-201","REGULADOR AUTOMATICO DE VOLTAJE MARCA EIRSA MODELO R-250H CON CAPACIDAD DE 300 VA Y TIEMPO DE RESPUESTA DE 0.025 DE SEG. SERIE 851112","12,744.19","","","","","","",""
